run,N,goalX,goalY,obst1Dist,obst2Dist,obst2Angle
0,5,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,5,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,5,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,5,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,5,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,5,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,5,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,5,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,5,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,5,4.0,4,2.3333333333333335,6.0,0.7777777777777777
0,7,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,7,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,7,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,7,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,7,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,7,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,7,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,7,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,7,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,7,4.0,4,2.3333333333333335,6.0,0.7777777777777777
0,9,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,9,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,9,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,9,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,9,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,9,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,9,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,9,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,9,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,9,4.0,4,2.3333333333333335,6.0,0.7777777777777777
0,11,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,11,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,11,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,11,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,11,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,11,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,11,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,11,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,11,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,11,4.0,4,2.3333333333333335,6.0,0.7777777777777777
0,13,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,13,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,13,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,13,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,13,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,13,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,13,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,13,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,13,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,13,4.0,4,2.3333333333333335,6.0,0.7777777777777777
0,15,-4.0,4,2.833333333333333,4.5,0.11111111111111116
1,15,-3.111111111111111,4,2.5,4.666666666666667,-1.0
2,15,-2.2222222222222223,4,2.1666666666666665,4.833333333333333,-0.7777777777777778
3,15,-1.3333333333333335,4,3.333333333333333,5.0,0.33333333333333326
4,15,-0.44444444444444464,4,2.6666666666666665,5.166666666666667,-0.5555555555555556
5,15,0.44444444444444464,4,3.5,5.333333333333333,1.0
6,15,1.333333333333333,4,3.0,5.5,0.5555555555555554
7,15,2.2222222222222214,4,2.0,5.666666666666666,-0.33333333333333337
8,15,3.1111111111111107,4,3.1666666666666665,5.833333333333333,-0.11111111111111116
9,15,4.0,4,2.3333333333333335,6.0,0.7777777777777777
